               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083491,            0.062671,            0.039198,             0.39937,             0.46909,             0.38495,             0.16306,            0.062771,            0.038584,            0.019171,           0.0033287,           0.0033287,            0.070042
                   1,             0.06684,            0.055026,            0.021808,             0.45294,             0.46411,             0.39046,             0.13947,            0.063405,             0.03768,            0.014459,           0.0066605,           0.0066605,            0.040041
